Query Name,Rank,TF,Score,Library,Overlapping_Genes,Is_STAT1_Target
IFNa30h_enhancer_genes,1,ZNF276,28.0,"ARCHS4 Coexpression,39;Enrichr Queries,42;GTEx Coexpression,3",FAM157A,True
IFNa30h_enhancer_genes,2,SCX,33.0,"ARCHS4 Coexpression,33",DDX11L16,True
IFNa30h_enhancer_genes,3,ZNF319,36.67,"ARCHS4 Coexpression,36;Enrichr Queries,47;GTEx Coexpression,27",FAM157A,True
IFNa30h_enhancer_genes,4,TBPL2,39.0,"ARCHS4 Coexpression,7;GTEx Coexpression,71","DDX11L16,DDX11L9,PARD6G",True
IFNa30h_enhancer_genes,5,NFE2,44.6,"ARCHS4 Coexpression,19;ENCODE ChIP-seq,48;Enrichr Queries,36;ReMap ChIP-seq,13;GTEx Coexpression,107","FAM157A,DDX11L9",True
IFNa30h_enhancer_genes,6,SPI1,49.67,"Literature ChIP-seq,1;ARCHS4 Coexpression,81;ENCODE ChIP-seq,37;Enrichr Queries,50;ReMap ChIP-seq,84;GTEx Coexpression,45","FAM157B,FAM157A",True
IFNa30h_enhancer_genes,7,GFI1B,53.6,"Literature ChIP-seq,80;ARCHS4 Coexpression,3;Enrichr Queries,16;ReMap ChIP-seq,107;GTEx Coexpression,62","FAM157A,DDX11L16,DDX11L9",True
IFNa30h_enhancer_genes,8,ZBTB7B,69.67,"ARCHS4 Coexpression,92;Enrichr Queries,27;GTEx Coexpression,90","FAM157A,PARD6G",True
IFNa30h_enhancer_genes,9,BORCS8MEF2B,79.0,"ARCHS4 Coexpression,79",FAM157A,True
IFNa30h_enhancer_genes,10,MYCL,85.0,"ARCHS4 Coexpression,84;GTEx Coexpression,86","FAM157A,PARD6G",True
IFNa30h_enhancer_genes,11,ZNF341,89.0,"ARCHS4 Coexpression,72;Enrichr Queries,115;GTEx Coexpression,80",FAM157A,True
IFNa30h_enhancer_genes,12,ZNF385D,91.33,"ARCHS4 Coexpression,11;Enrichr Queries,41;GTEx Coexpression,222","DDX11L16,DDX11L9",True
IFNa30h_enhancer_genes,13,HSFX2,93.0,"ARCHS4 Coexpression,93",DDX11L9,True
IFNa30h_enhancer_genes,14,RXRA,96.0,"Literature ChIP-seq,82;ARCHS4 Coexpression,55;ENCODE ChIP-seq,2;Enrichr Queries,318;ReMap ChIP-seq,115;GTEx Coexpression,4","OR4F16,FAM157A,PARD6G",True
IFNa30h_enhancer_genes,15,CEBPE,104.3,"ARCHS4 Coexpression,89;Enrichr Queries,60;GTEx Coexpression,164",FAM157A,True
IFNa30h_enhancer_genes,16,ZBTB34,108.3,"ARCHS4 Coexpression,22;Enrichr Queries,226;GTEx Coexpression,77","FAM157A,DDX11L9",True
IFNa30h_enhancer_genes,17,ZBTB14,118.5,"ARCHS4 Coexpression,1;GTEx Coexpression,236","DDX11L16,DDX11L9",True
IFNa30h_enhancer_genes,18,NFE4,119.0,"GTEx Coexpression,119",FAM157A,True
IFNa30h_enhancer_genes,19,ZNF385A,122.3,"ARCHS4 Coexpression,43;Enrichr Queries,246;GTEx Coexpression,78","FAM157A,PARD6G",True
IFNa30h_enhancer_genes,20,ASCL2,123.3,"ARCHS4 Coexpression,57;Enrichr Queries,299;GTEx Coexpression,14","FAM157A,PARD6G",True
IFNa30h_enhancer_genes,21,MXD3,126.0,"ARCHS4 Coexpression,99;Enrichr Queries,171;GTEx Coexpression,108",FAM157A,True
IFNa30h_enhancer_genes,22,GATA1,126.2,"Literature ChIP-seq,42;ARCHS4 Coexpression,18;ENCODE ChIP-seq,17;Enrichr Queries,108;ReMap ChIP-seq,95;GTEx Coexpression,477","DDX11L16,DDX11L9",True
IFNa30h_enhancer_genes,23,ATF6,128.7,"ARCHS4 Coexpression,253;Enrichr Queries,83;GTEx Coexpression,50",FAM157A,True
