Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	0.0	13501771	-0.203	0.151
miRNA	0.0	62988	-0.001	0.001
ncRNA	0.0	3541878	-0.056	0.039
TTS	0.0	16644907	-0.247	0.186
pseudo	0.0	1075237	-0.017	0.012
Exon	0.0	19418800	-0.285	0.217
Intron	0.0	637298138	-3.666	9.012
Intergenic	18.0	906545032	0.836	-10.428
Promoter	0.0	18578782	-0.274	0.208
5UTR	0.0	1346824	-0.021	0.015
snoRNA	0.0	120	-0.000	0.000
Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	0.0	13501771	-0.203	0.151
Retroposon	0.0	2101618	-0.033	0.023
RC?	0.0	32371	-0.001	0.000
RNA	0.0	52945	-0.001	0.001
miRNA	0.0	62988	-0.001	0.001
ncRNA	0.0	3541878	-0.056	0.039
TTS	0.0	16644907	-0.247	0.186
LINE	6.0	337926826	0.675	-1.862
srpRNA	0.0	130943	-0.002	0.001
SINE	0.0	192017275	-1.775	2.273
RC	0.0	207186	-0.003	0.002
tRNA	0.0	33818	-0.001	0.000
DNA?	0.0	230597	-0.004	0.003
pseudo	0.0	1075237	-0.017	0.012
DNA	0.0	51575057	-0.671	0.583
Exon	0.0	19418800	-0.285	0.217
Intron	0.0	331175871	-2.493	4.120
Intergenic	9.0	422423476	0.938	-3.670
Promoter	0.0	18578782	-0.274	0.208
5UTR	0.0	1346824	-0.021	0.015
snoRNA	0.0	120	-0.000	0.000
LTR?	0.0	544073	-0.009	0.006
scRNA	0.0	58109	-0.001	0.001
CpG-Island	0.0	4495336	-0.071	0.050
Low_complexity	0.0	2846099	-0.045	0.032
LTR	1.0	137103092	-0.608	0.613
Simple_repeat	2.0	18135552	3.310	-4.072
snRNA	0.0	155612	-0.002	0.002
Unknown	0.0	367384	-0.006	0.004
SINE?	0.0	1818	-0.000	0.000
Satellite	0.0	42834322	-0.575	0.483
rRNA	0.0	96148	-0.002	0.001
