Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	0.0	13678567	-0.226	0.168
miRNA	0.0	46566	-0.001	0.001
ncRNA	0.0	3636235	-0.063	0.045
TTS	0.0	16004856	-0.261	0.197
pseudo	0.0	1044497	-0.018	0.013
Exon	0.0	18149263	-0.293	0.224
Intron	0.0	627804747	-3.852	10.040
Intergenic	18.0	769020131	0.933	-11.644
Promoter	0.0	17765355	-0.287	0.219
5UTR	0.0	1332776	-0.023	0.016
snoRNA	0.0	237	-0.000	0.000
scRNA	0.0	97	-0.000	0.000
rRNA	0.0	25562	-0.000	0.000
Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	0.0	13678567	-0.225	0.168
Retroposon	0.0	1960762	-0.034	0.024
RC?	0.0	27534	-0.000	0.000
RNA	0.0	55055	-0.001	0.001
miRNA	0.0	46566	-0.001	0.001
ncRNA	0.0	3636235	-0.063	0.045
TTS	0.0	16004856	-0.261	0.197
LINE	4.0	295066766	0.146	-0.688
srpRNA	0.0	131271	-0.002	0.002
SINE	0.0	187476950	-1.861	2.457
RC	0.0	154800	-0.003	0.002
tRNA	0.0	57799	-0.001	0.001
DNA?	0.0	192471	-0.003	0.002
pseudo	0.0	1044497	-0.018	0.013
DNA	0.0	47781772	-0.683	0.595
Exon	0.0	18149263	-0.293	0.224
Intron	0.0	328641187	-2.629	4.557
Intergenic	12.0	353895015	1.469	-8.756
Promoter	0.0	17765355	-0.287	0.219
5UTR	0.0	1332776	-0.023	0.016
snoRNA	0.0	237	-0.000	0.000
LTR?	0.0	596005	-0.010	0.007
scRNA	0.0	63388	-0.001	0.001
CpG-Island	0.0	4372098	-0.075	0.054
Low_complexity	0.0	2630242	-0.046	0.032
LTR	0.0	124957526	-1.418	1.600
Simple_repeat	0.0	16600096	-0.270	0.204
snRNA	0.0	158407	-0.003	0.002
Unknown	0.0	346947	-0.006	0.004
SINE?	0.0	856	-0.000	0.000
Satellite	2.0	32549672	2.327	-2.824
rRNA	0.0	106163	-0.002	0.001
