PeakID (cmd=annotatePeaks.pl /home/abhi39/Projects/CHIPseq/output/4_peak_calling/output/differential_binding/unique_IFNa6h.bed hg38 -annStats /home/abhi39/Projects/CHIPseq/output/8_peak_annotation/annotated_IFNa6h_stats.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak_67710	KI270388.1	1046	1145	+	1000													
Peak_67777	KI270391.1	1315	1368	+	1000													
Peak_15301113	chr4	190204651	190204655	+	1000		Intergenic	Intergenic	30879.0	NR_137167	100288687.0		NM_001205218	ENSG00000260596	DUX4	DUX4L	double homeobox 4	protein-coding
Peak_93689	KI270539.1	325	534	+	1000													
Peak_150346	KI270730.1	112182	112195	+	1000													
Peak_199403	KI270750.1	147820	147847	+	1000													
Peak_67519	KI270378.1	909	1039	+	1000													
Peak_12359	GL000205.2	185444	185499	+	1000													
Peak_118069	KI270723.1	38088	38115	+	1000													
Peak_67493	KI270375.1	2200	2201	+	1000													
Peak_18054985	chr6	170745791	170745872	+	1000		Intergenic	Intergenic	-161139.0	NM_001199461	5134.0		NM_002598	ENSG00000071994	PDCD2	RP8|ZMYND7	programmed cell death 2	protein-coding
Peak_175009	KI270737.1	103722	103728	+	1000													
Peak_89821	KI270508.1	1685	1694	+	1000													
Peak_207066	KI270756.1	79430	79497	+	1000													
Peak_94228	KI270583.1	1392	1400	+	1000													
Peak_94317	KI270587.1	2813	2825	+	1000													
Peak_63837	KI270302.1	1576	1802	+	1000													
Peak_67288	KI270363.1	1599	1657	+	1000													
Peak_68418	KI270414.1	2406	2481	+	1000													
Peak_5254522	chr12	133265391	133265396	+	1000		Intergenic	Intergenic	-29516.0	NM_001372060	647589.0		NM_001191054	ENSG00000227059	ANHX	-	anomalous homeobox	protein-coding
Peak_6488930	chr14	106883282	106883369	+	1000		Intergenic	TAR1|Satellite|telo	-32326.0	NR_049827	100847062.0		NR_049827	ENSG00000265929	MIR5195	-	microRNA 5195	ncRNA
Peak_87444	KI270465.1	1732	1737	+	1000													
Peak_63836	KI270302.1	1410	1575	+	1000													
Peak_198095	KI270749.1	158050	158249	+	1000													
Peak_199404	KI270750.1	147848	148019	+	1000													
Peak_68668	KI270424.1	2103	2140	+	1000													
Peak_64367	KI270312.1	870	919	+	1000													
Peak_6488926	chr14	106883047	106883081	+	1000		Intergenic	L1MC3|LINE|L1	-32065.0	NR_049827	100847062.0		NR_049827	ENSG00000265929	MIR5195	-	microRNA 5195	ncRNA
Peak_201739	KI270752.1	21950	24817	+	1000													
Peak_89823	KI270508.1	1784	1882	+	1000													
Peak_67472	KI270374.1	1814	1850	+	1000													
Peak_92831	KI270529.1	1835	1848	+	1000													
Peak_97992	KI270707.1	31611	31810	+	1000													
Peak_68646	KI270423.1	585	689	+	1000													
Peak_94100	KI270580.1	1360	1378	+	1000													
Peak_90557	KI270516.1	1248	1300	+	1000													
Peak_67470	KI270374.1	1729	1731	+	1000													
Peak_67694	KI270387.1	1090	1138	+	1000													
Peak_198096	KI270749.1	158250	158558	+	1000													
Peak_66221	KI270335.1	942	1025	+	1000													
Peak_97990	KI270707.1	31432	31547	+	1000													
Peak_68647	KI270423.1	690	695	+	1000													
Peak_31685	GL000218.1	160772	160773	+	1000													
Peak_64097	KI270304.1	2115	2149	+	1000													
Peak_64326	KI270311.1	12320	12350	+	1000													
Peak_66218	KI270335.1	766	825	+	1000													
Peak_150345	KI270730.1	112091	112181	+	1000													
Peak_130370	KI270728.1	1872657	1872705	+	1000													
Peak_12158978	chr21	46700049	46700076	+	1000		Intergenic	Intergenic	64388.0	NM_001242866	3275.0		NM_001535	ENSG00000160310	PRMT2	HRMT1L1	protein arginine methyltransferase 2	protein-coding
Peak_89700	KI270468.1	3607	3640	+	1000													
Peak_29796	GL000216.2	176555	176608	+	1000													
Peak_66204	KI270334.1	1259	1326	+	1000													
Peak_113489	KI270718.1	38051	38054	+	1000													
Peak_67686	KI270386.1	1717	1788	+	1000													
Peak_68643	KI270423.1	489	495	+	1000													
Peak_94201	KI270582.1	6276	6309	+	1000													
Peak_89702	KI270468.1	3680	3813	+	1000													
Peak_198092	KI270749.1	157691	157692	+	1000													
Peak_93690	KI270539.1	535	564	+	1000													
Peak_115899	KI270721.1	99603	99802	+	1000													
Peak_207065	KI270756.1	79413	79429	+	1000													
Peak_64414	KI270315.1	2203	2222	+	1000													
Peak_90556	KI270516.1	1234	1247	+	1000													
Peak_67211	KI270338.1	1209	1293	+	1000													
Peak_89703	KI270468.1	3814	3982	+	1000													
Peak_67476	KI270374.1	2014	2083	+	1000													
Peak_113486	KI270718.1	38030	38032	+	1000													
Peak_67469	KI270374.1	1707	1728	+	1000													
Peak_89797	KI270507.1	5202	5230	+	1000													
Peak_68642	KI270423.1	329	488	+	1000													
Peak_64794	KI270322.1	21329	21394	+	1000													
Peak_64114	KI270305.1	1434	1472	+	1000													
Peak_67836	KI270393.1	1184	1189	+	1000													
Peak_118520	KI270724.1	39451	39480	+	1000													
Peak_12501168	chr22	50808527	50808537	+	1000		Intergenic	Intergenic	24803.0	NR_026982	284942.0		NM_203302	ENSG00000291064	RPL23AP82	RPL23A_43_1761	ribosomal protein L23a pseudogene 82	pseudo
Peak_6488928	chr14	106883124	106883191	+	1000		Intergenic	L1MC3|LINE|L1	-32158.0	NR_049827	100847062.0		NR_049827	ENSG00000265929	MIR5195	-	microRNA 5195	ncRNA
Peak_199407	KI270750.1	148350	148637	+	1000													
Peak_94146	KI270581.1	6452	6531	+	1000													
Peak_197105	KI270748.1	93149	93177	+	1000													
Peak_87445	KI270465.1	1738	1738	+	1000													
Peak_118517	KI270724.1	39081	39250	+	1000													
Peak_31688	GL000218.1	160974	161016	+	1000													
Peak_13467	GL000208.1	92603	92689	+	1000													
Peak_89796	KI270507.1	5116	5201	+	1000													
Peak_2204644	chr1	248946448	248946481	+	1000		Intergenic	Intergenic	40221.0	NM_001017434	267002.0		NM_170725	ENSG00000185220	PGBD2	-	piggyBac transposable element derived 2	protein-coding
Peak_151631	KI270731.1	150664	150754	+	1000													
Peak_67477	KI270374.1	2084	2233	+	1000													
Peak_67707	KI270388.1	975	1027	+	1000													
Peak_68721	KI270429.1	1360	1361	+	1000													
Peak_66219	KI270335.1	826	852	+	1000													
Peak_94147	KI270581.1	6532	6600	+	1000													
Peak_3241804	chr10	133787515	133787520	+	1000		Intergenic	Intergenic	-160722.0	NM_001080998	441581.0		NM_001080998	ENSG00000225899	FRG2B	-	FSHD region gene 2 family member B	protein-coding
Peak_64588	KI270317.1	37522	37524	+	1000													
Peak_9224	GL000195.1	182717	182771	+	1000													
Peak_67837	KI270393.1	1190	1282	+	1000													
Peak_63844	KI270302.1	2161	2166	+	1000													
Peak_89822	KI270508.1	1695	1783	+	1000													
Peak_67473	KI270374.1	1851	1883	+	1000													
Peak_94200	KI270582.1	6268	6275	+	1000													
Peak_90032	KI270511.1	8099	8113	+	1000													
Peak_199408	KI270750.1	148638	148837	+	1000													
Peak_67210	KI270338.1	1196	1208	+	1000													
Peak_67695	KI270387.1	1139	1284	+	1000													
Peak_89701	KI270468.1	3641	3679	+	1000													
Peak_19381548	chr7	159336048	159336059	+	1000		Intergenic	Intergenic	-191096.0	NR_130758	7434.0		NM_003382	ENSG00000106018	VIPR2	C16DUPq36.3|DUP7q36.3|PACAP-R-3|PACAP-R3|VIP-R-2|VPAC2|VPAC2R|VPCAP2R	vasoactive intestinal peptide receptor 2	protein-coding
Peak_93688	KI270538.1	91209	91224	+	1000													
Peak_67518	KI270378.1	840	908	+	1000													
Peak_97991	KI270707.1	31548	31610	+	1000													
Peak_105816	KI270710.1	40147	40165	+	1000													
Peak_66220	KI270335.1	853	941	+	1000													
Peak_197102	KI270748.1	92867	92948	+	1000													
Peak_67471	KI270374.1	1732	1813	+	1000													
Peak_64415	KI270315.1	2223	2263	+	1000													
Peak_92857	KI270530.1	2082	2126	+	1000													
Peak_67289	KI270363.1	1658	1768	+	1000													
Peak_68419	KI270414.1	2482	2489	+	1000													
Peak_198091	KI270749.1	157547	157690	+	1000													
Peak_175011	KI270737.1	103757	103758	+	1000													
Peak_118518	KI270724.1	39251	39280	+	1000													
Peak_162503	KI270735.1	42774	42811	+	1000													
Peak_66205	KI270334.1	1327	1351	+	1000													
Peak_92830	KI270529.1	1752	1834	+	1000													
Peak_64665	KI270320.1	4341	4374	+	1000													
Peak_94153	KI270581.1	6984	7046	+	1000													
Peak_67478	KI270374.1	2234	2433	+	1000													
Peak_67708	KI270388.1	1028	1029	+	1000													
Peak_67890	KI270396.1	1745	1850	+	1000													
Peak_67506	KI270376.1	843	1039	+	1000													
Peak_63841	KI270302.1	1991	2002	+	1000													
Peak_63813	GL000226.1	14937	14960	+	1000													
Peak_31687	GL000218.1	160817	160973	+	1000													
Peak_68645	KI270423.1	511	584	+	1000													
Peak_199406	KI270750.1	148150	148349	+	1000													
Peak_9225	GL000195.1	182772	182803	+	1000													
Peak_113487	KI270718.1	38033	38049	+	1000													
Peak_67596	KI270382.1	4182	4182	+	1000													
Peak_68649	KI270423.1	785	831	+	1000													
Peak_67838	KI270393.1	1283	1299	+	1000													
Peak_67634	KI270383.1	1572	1665	+	1000													
Peak_94148	KI270581.1	6601	6731	+	1000													
Peak_6488927	chr14	106883082	106883123	+	1000		Intergenic	L1MC3|LINE|L1	-32103.0	NR_049827	100847062.0		NR_049827	ENSG00000265929	MIR5195	-	microRNA 5195	ncRNA
Peak_207064	KI270756.1	79406	79412	+	1000													
Peak_87442	KI270465.1	1706	1720	+	1000													
Peak_31686	GL000218.1	160774	160816	+	1000													
Peak_99029	KI270708.1	127338	127382	+	1000													
Peak_68438	KI270417.1	1983	1987	+	1000													
Peak_68440	KI270417.1	2002	2043	+	1000													
Peak_199402	KI270750.1	147739	147819	+	1000													
Peak_18054984	chr6	170745756	170745790	+	1000		Intergenic	Intergenic	-161081.0	NM_001199461	5134.0		NM_002598	ENSG00000071994	PDCD2	RP8|ZMYND7	programmed cell death 2	protein-coding
Peak_89871	KI270509.1	2199	2220	+	1000													
Peak_87440	KI270465.1	1672	1672	+	1000													
Peak_68521	KI270418.1	1934	1962	+	1000													
Peak_89825	KI270508.1	1895	1914	+	1000													
Peak_8477748	chr17	83247488	83247507	+	1000		Intergenic	Intergenic	20600.0	NR_029406	388574.0		NR_029406	ENSG00000293087	RPL23AP87	-	ribosomal protein L23a pseudogene 87	pseudo
Peak_67597	KI270382.1	4183	4215	+	1000													
Peak_94320	KI270587.1	2928	2954	+	1000													
Peak_90555	KI270516.1	1201	1233	+	1000													
Peak_64442	KI270316.1	1157	1230	+	1000													
Peak_115898	KI270721.1	98910	99602	+	1000													
Peak_67452	KI270372.1	1467	1533	+	1000													
Peak_113488	KI270718.1	38050	38050	+	1000													
Peak_67474	KI270374.1	1884	1931	+	1000													
Peak_198093	KI270749.1	157693	157890	+	1000													
Peak_94151	KI270581.1	6801	6852	+	1000													
Peak_20441886	chr8	145078522	145078579	+	1000		Intergenic	L1P1|LINE|L1	26083.0	NM_023080	65265.0		NM_023080	ENSG00000182307	C8orf33	-	chromosome 8 open reading frame 33	protein-coding
Peak_63843	KI270302.1	2119	2160	+	1000													
Peak_175010	KI270737.1	103729	103756	+	1000													
Peak_18054987	chr6	170745881	170746051	+	1000		Intergenic	Intergenic	-161274.0	NM_001199461	5134.0		NM_002598	ENSG00000071994	PDCD2	RP8|ZMYND7	programmed cell death 2	protein-coding
Peak_67721	KI270389.1	1094	1145	+	1000													
Peak_199405	KI270750.1	148020	148149	+	1000													
Peak_94274	KI270584.1	4505	4513	+	1000													
Peak_94319	KI270587.1	2893	2927	+	1000													
Peak_198094	KI270749.1	157891	158049	+	1000													
Peak_63839	KI270302.1	1919	1960	+	1000													
Peak_68523	KI270418.1	2029	2145	+	1000													
Peak_64412	KI270315.1	2112	2173	+	1000													
Peak_67517	KI270378.1	741	839	+	1000													
Peak_94419	KI270588.1	5884	6026	+	1000													
Peak_63835	KI270302.1	1376	1409	+	1000													
Peak_90611	KI270517.1	3174	3253	+	1000													
Peak_66202	KI270334.1	1059	1083	+	1000													
Peak_67322	KI270364.1	2703	2703	+	1000													
Peak_67280	KI270362.1	3494	3530	+	1000													
Peak_94321	KI270587.1	2955	2969	+	1000													
Peak_207067	KI270756.1	79498	79534	+	1000													
Peak_67323	KI270364.1	2704	2767	+	1000													
Peak_66203	KI270334.1	1084	1258	+	1000													
Peak_68417	KI270414.1	2339	2405	+	1000													
Peak_67696	KI270387.1	1285	1396	+	1000													
Peak_87441	KI270465.1	1673	1705	+	1000													
Peak_67635	KI270383.1	1666	1674	+	1000													
Peak_68522	KI270418.1	1963	2028	+	1000													
Peak_150347	KI270730.1	112196	112381	+	1000													
Peak_68667	KI270424.1	2090	2102	+	1000													
